date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-05-25,45.46166,10.45754,1,1119,2023-05-25 11:19:00,6.54,n,D,2,italy_viirs_snpp_2023.csv
2023-05-25,45.62749,12.77888,1,1119,2023-05-25 11:19:00,12.75,n,D,0,italy_viirs_snpp_2023.csv
2023-05-25,45.54765,11.97204,1,1119,2023-05-25 11:19:00,1.11,n,D,0,italy_viirs_snpp_2023.csv
2023-05-25,45.71675,11.39432,1,1259,2023-05-25 12:59:00,5.23,n,D,0,italy_viirs_snpp_2023.csv
2023-05-25,45.30997,10.9412,1,1259,2023-05-25 12:59:00,2.57,n,D,0,italy_viirs_snpp_2023.csv
2023-05-25,45.45886,10.45675,1,1259,2023-05-25 12:59:00,9.09,h,D,2,italy_viirs_snpp_2023.csv
2023-05-25,40.50373,17.20707,1,2335,2023-05-25 23:35:00,3.39,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.50337,17.20267,1,2335,2023-05-25 23:35:00,3.3,n,N,2,italy_viirs_snpp_2023.csv
2023-05-25,40.51804,17.20298,1,2335,2023-05-25 23:35:00,3.31,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.51651,10.34635,1,115,2023-05-26 01:15:00,0.53,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.63764,9.60016,1,115,2023-05-26 01:15:00,1.46,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,46.17653,12.73794,1,115,2023-05-26 01:15:00,0.71,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.38117,11.94718,1,115,2023-05-26 01:15:00,3.1,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.78254,8.68508,1,115,2023-05-26 01:15:00,0.66,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.50871,10.24876,1,115,2023-05-26 01:15:00,1.21,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.50943,10.24375,1,115,2023-05-26 01:15:00,1.21,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,43.36357,12.54478,1,115,2023-05-26 01:15:00,1.23,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.14352,9.94066,1,115,2023-05-26 01:15:00,4.67,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.14687,9.9416,1,115,2023-05-26 01:15:00,4.67,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,45.46194,10.45346,1,115,2023-05-26 01:15:00,1.22,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,40.55722,9.67045,1,116,2023-05-26 01:16:00,0.73,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,40.67258,16.65759,1,116,2023-05-26 01:16:00,0.34,n,N,0,italy_viirs_snpp_2023.csv
2023-05-26,39.09317,8.53255,1,117,2023-05-26 01:17:00,1.0,n,N,0,italy_viirs_snpp_2023.csv
2023-05-26,39.082,9.01887,1,117,2023-05-26 01:17:00,1.22,n,N,2,italy_viirs_snpp_2023.csv
2023-05-26,38.79366,15.20811,1,117,2023-05-26 01:17:00,8.44,n,N,1,italy_viirs_snpp_2023.csv
2023-05-26,38.79261,15.21319,1,117,2023-05-26 01:17:00,8.44,n,N,1,italy_viirs_snpp_2023.csv
2023-05-26,45.14782,9.94296,1,1100,2023-05-26 11:00:00,4.1,n,D,2,italy_viirs_snpp_2023.csv
2023-05-26,36.9602,14.49,1,1238,2023-05-26 12:38:00,10.3,n,D,0,italy_viirs_snpp_2023.csv
2023-05-26,39.34271,9.14956,1,1239,2023-05-26 12:39:00,1.79,n,D,0,italy_viirs_snpp_2023.csv
2023-05-26,45.14766,9.94439,1,1240,2023-05-26 12:40:00,6.79,n,D,2,italy_viirs_snpp_2023.csv
2023-05-26,45.49849,8.94956,1,1240,2023-05-26 12:40:00,5.5,n,D,0,italy_viirs_snpp_2023.csv
2023-05-26,45.12938,8.45798,1,1240,2023-05-26 12:40:00,4.31,n,D,0,italy_viirs_snpp_2023.csv
2023-05-26,45.75734,9.00531,1,1240,2023-05-26 12:40:00,2.94,n,D,0,italy_viirs_snpp_2023.csv
2023-05-26,45.14358,9.94513,1,1240,2023-05-26 12:40:00,6.79,n,D,2,italy_viirs_snpp_2023.csv
2023-05-27,46.22942,13.0744,1,56,2023-05-27 00:56:00,1.34,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,45.78175,8.68554,1,56,2023-05-27 00:56:00,0.8,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,40.55792,9.67417,1,57,2023-05-27 00:57:00,0.85,n,N,2,italy_viirs_snpp_2023.csv
